time_s,w_center_mm,theta_span_K
0.0312999999999999,-3.36963846467815,3.97325480066576
0.0313999999999999,-3.28890966129035,3.86181755413959
0.0314999999999999,-3.20630679844537,3.7598386630576
0.0315999999999999,-3.12151514881588,3.65849645008764
0.0316999999999999,-3.0339342069293,3.54796185600713
0.0317999999999999,-2.94322244075138,3.42972440449169
0.0318999999999999,-2.85031050005907,3.30894844744859
0.0319999999999999,-2.7562962398219,3.1862467200276
0.0320999999999999,-2.66119991126793,3.06587348193652
0.0321999999999999,-2.56474431686537,2.95412365862517
0.0322999999999999,-2.46710169506562,2.8489328571382
0.0323999999999999,-2.36885306764781,2.74894334547617
0.0324999999999999,-2.27108525697438,2.65578455608802
0.0325999999999999,-2.17480407103447,2.56934802491104
0.0326999999999999,-2.07998016392792,2.49017627493832
0.0327999999999999,-1.98622625327861,2.40958648778241
0.0328999999999999,-1.89384613273516,2.31591203357709
0.0329999999999999,-1.80360968317324,2.2120825865069
0.0330999999999999,-1.71647099685671,2.10776510883809
0.0331999999999999,-1.63346978649445,2.00490848603245
0.0332999999999999,-1.5548134366858,1.90214935615697
0.0333999999999999,-1.47954587708286,1.8012602535003
0.0334999999999999,-1.40732387382978,1.70230466211941
0.0335999999999999,-1.33874373919946,1.60185627109015
0.0336999999999999,-1.27395211254152,1.49805934396099
0.0337999999999999,-1.21256760775905,1.39446013951127
0.0338999999999999,-1.15365856562057,1.2898045853119
0.0339999999999999,-1.09578869430654,1.17700508489123
0.0340999999999999,-1.03820313598687,1.05482957138777
0.0342,-0.981160272984027,0.928959647649689
0.0343,-0.924860699690816,0.811933226167314
0.0344,-0.86915013951724,0.712193006515504
0.0345,-0.813513144082508,0.624903325820892
0.0346,-0.756914045673056,0.546028551959251
0.0347,-0.698746588897545,0.479179056843133
0.0348,-0.639831938498084,0.422595124041408
0.0349,-0.58140276783552,0.371141162376697
0.035,-0.523565696685593,0.32746275449789
0.0351,-0.465785232533426,0.290070682292875
0.0352,-0.408013054332476,0.251527494336587
0.0353,-0.35099754049268,0.211758332169359
0.0354,-0.296389820823319,0.177224572852625
0.0355,-0.246041093068322,0.156690101976333
0.0356,-0.200559794527154,0.150634859514802
0.0357,-0.159602039292211,0.148643828140441
0.0358,-0.123329018622256,0.142520114216224
0.0359,-0.0923493654474799,0.13092433742461
0.036,-0.0675201338424821,0.116134312434325
0.0361,-0.0499561510554854,0.0954364486094981
0.0362,-0.0394605414444442,0.0644658608423805
0.0363,-0.0344498101557901,0.026803504897103
0.0364,-0.0341138656307574,0.0150467237708942
0.0365,-0.0387860973222875,0.0615887510381262
0.0366,-0.048707760188325,0.102860289603489
0.0367,-0.0635065889889383,0.127726278697113
0.0368,-0.0820989809689751,0.140245625908168
0.0369,-0.10282619193092,0.149216558523045
0.037,-0.124406846436159,0.158009571460507
0.0371,-0.146686056625928,0.165506274766339
0.0372,-0.169959414065825,0.165573700577015
0.0373,-0.193985723329915,0.156415705987519
0.0374,-0.218174209298154,0.142228605018186
0.0375,-0.24165345792767,0.12044241410087
0.0376000000000001,-0.263756455891012,0.0855833375324876
0.0377000000000001,-0.285345294404626,0.0372581390267802
0.0378000000000001,-0.307995066626292,0.026015734576027
0.0379000000000001,-0.332163777071307,0.107150785388297
0.0380000000000001,-0.357493647961001,0.200187288419907
0.0381000000000001,-0.383881837265525,0.290559274168149
0.0382000000000001,-0.411623747439778,0.370650759963663
0.0383000000000001,-0.441985465202513,0.446540673918483
0.0384000000000001,-0.476837989903817,0.523044384334389
0.0385000000000001,-0.51684807768429,0.597646833326548
0.0386000000000001,-0.561610339300822,0.668800356105649
0.0387000000000001,-0.610843467973302,0.73665500601733
0.0388000000000001,-0.664652861326885,0.804455901930104
0.0389000000000001,-0.72364173789538,0.878498976274502
0.0390000000000001,-0.788621085640832,0.956157457447256
0.0391000000000001,-0.859287772867559,1.03379759935839
0.0392000000000001,-0.933920760373311,1.11102023728328
0.0393000000000001,-1.01119781244145,1.17883502578744
0.0394000000000001,-1.09114475679532,1.23462463908717
0.0395000000000001,-1.17396910384418,1.29022944744712
0.0396000000000001,-1.25949128046676,1.35575316008057
0.0397000000000001,-1.34723997597579,1.42907913502437
0.0398000000000001,-1.4358361212788,1.50712094085954
0.0399000000000001,-1.52391747037736,1.59302092969361
0.0400000000000001,-1.61155948813226,1.6907253454198
